Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,0,partie,part
1,1,1,1,seulement,only
2,2,2,2,police,police
3,3,4,4,demande,request
4,4,5,5,genre,kind
5,5,6,6,mois,month
6,6,7,7,mettre,to put
8,8,9,9,laisse,leash
9,9,10,10,eux,them
10,10,11,11,ville,city
11,12,13,13,parlé,speak
13,16,17,18,heures,hours
14,17,18,19,vont,will
15,18,19,20,pendant,while
16,19,20,21,revoir,meet again
18,21,22,24,parle,speak
19,22,23,25,compris,understood
21,24,25,27,étaient,were
22,25,27,30,affaire,case
23,26,28,32,type,type
24,27,29,33,leurs,their
25,28,30,34,donné,given
26,29,31,35,corps,body
27,30,32,36,endroit,place
28,31,33,37,yeux,eyes
29,32,34,38,façon,way
30,33,35,39,écoute,listen
31,34,36,40,dont,whose
33,36,40,45,côté,side
34,37,41,46,pouvoir,power
35,40,45,50,enfant,child
36,41,46,51,point,point
37,42,47,52,venu,came
39,44,49,54,pardon,sorry
40,45,50,55,venez,come
41,46,51,56,devant,in front of
42,47,52,57,vers,towards
44,49,55,62,droit,law
45,50,56,63,aimerais,would like to
46,51,57,64,aujourd'hui,today
47,53,59,66,cause,cause
48,54,60,67,enfin,finally
53,59,65,72,nouvelle,new
54,60,67,74,arrêter,Stop
56,62,69,76,terre,Earth
57,63,70,77,compte,account
58,64,71,78,donne,given
61,67,75,83,gros,large
62,68,76,84,plutôt,rather
63,69,77,85,aura,will have
64,70,79,87,bureau,office
